permit_number,address,type,value
2025-138471 BP,"7119 STITZEL WELLER DR, Chattanooga, TN",Building Permit,$90489
2025-130701 MP,"2020 SIMOND AVE UNIT D, Chattanooga, TN",Mechanical Permit,$112069
2025-139153 PP,"6303 INDIAN CANYON DR, Chattanooga, TN",Plumbing Permit,$161310
2025-134700 PP,"2601 LITTLE JOHN LN, Chattanooga, TN",Plumbing Permit,$247297
2025-130143 PP,"4902 TORTUGA PL, Chattanooga, TN",Plumbing Permit,$102406
2025-138673 PP,"12515 LAMPLIGHT VILLAGE AVE, Chattanooga, TN",Plumbing Permit,$210423
2025-139097 PP,"2516 STAR GRASS CIR, Chattanooga, TN",Plumbing Permit,$89377
2025-133041 PP,"4302 WATERFORD PL, Chattanooga, TN",Plumbing Permit,$67300
2025-136207 PP,"8400 JAMESTOWN DR UNIT 318, Chattanooga, TN",Plumbing Permit,$294243
2025-094954 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Chattanooga, TN",Electrical Permit,$180177
2025-137073 EP,"1106 CRIPPLE CREEK DR, Chattanooga, TN",Electrical Permit,$219483
2025-138166 EP,"5624 N LAMAR BLVD, Chattanooga, TN",Electrical Permit,$194972
2025-062757 PP,"8350 W US 290 HWY, Chattanooga, TN",Plumbing Permit,$234244
2025-136714 EP,"11436 RUSTIC ROCK DR, Chattanooga, TN",Electrical Permit,$244634
2025-132470 BP,"9001 BERRYLINE CV, Chattanooga, TN",Building Permit,$245989
2025-114107 PP,"1407 E 3RD ST, Chattanooga, TN",Plumbing Permit,$86373
2025-134078 PP,"300 W 34TH ST, Chattanooga, TN",Plumbing Permit,$194872
2025-136927 PP,"5006 ACORN GROVE CT, Chattanooga, TN",Plumbing Permit,$93680
2025-105802 EP,"2003 GREENWOOD AVE, Chattanooga, TN",Electrical Permit,$220014
2025-138081 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$191019
2025-136524 MP,"7212 MONTANA NORTE, Chattanooga, TN",Mechanical Permit,$286347
2025-125262 PP,"7112 ED BLUESTEIN BLVD SVRD SB UNIT 132, Chattanooga, TN",Plumbing Permit,$208573
2025-129612 PP,"6700 ISABELLE DR, Chattanooga, TN",Plumbing Permit,$59023
2025-138063 EP,"6909 MIRANDA DR, Chattanooga, TN",Electrical Permit,$117260
2025-135631 BP,"1309 ALGUNO RD BLDG 2, Chattanooga, TN",Building Permit,$247366
2025-138610 BP,"11404 BELLOWS FALLS AVE, Chattanooga, TN",Building Permit,$254079
2025-139493 BP,"7807 ELKHORN MOUNTAIN TRL, Chattanooga, TN",Building Permit,$63773
2025-136238 PP,"13400 BRIARWICK DR UNIT 1404, Chattanooga, TN",Plumbing Permit,$172854
2025-103490 PP,"1807 VISTA LN, Chattanooga, TN",Plumbing Permit,$268822
2025-136190 PP,"4620 W WILLIAM CANNON DR BLDG 40-J, Chattanooga, TN",Plumbing Permit,$192031
2025-123743 EP,"8820 BURNET RD UNIT 400, Chattanooga, TN",Electrical Permit,$76563
2025-138161 EP,"5624 N LAMAR BLVD, Chattanooga, TN",Electrical Permit,$185373
2025-138137 EP,"3803 WOODBROOK CIR, Chattanooga, TN",Electrical Permit,$227221
2025-138201 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$160508
2025-138533 MP,"10004 CHUKAR CIR, Chattanooga, TN",Mechanical Permit,$112615
2025-134948 EP,"3205 GILBERT ST, Chattanooga, TN",Electrical Permit,$189401
2025-139183 BP,"2007 ARPDALE ST, Chattanooga, TN",Building Permit,$182419
2025-130306 MP,"1701 SIMOND AVE UNIT 107B, Chattanooga, TN",Mechanical Permit,$231385
2025-030157 EP,"3105 WHITE ROCK DR, Chattanooga, TN",Electrical Permit,$77415
2025-139183 EP,"2007 ARPDALE ST, Chattanooga, TN",Electrical Permit,$295176
2025-134243 EP,"2800 W FRESCO DR, Chattanooga, TN",Electrical Permit,$190339
2023-112296 EP,"11420 ALTERRA PKWY, Chattanooga, TN",Electrical Permit,$192074
2025-138235 BP,"2947 E 14TH ST, Chattanooga, TN",Building Permit,$62239
2025-119793 EP,"2207 REBEL RD, Chattanooga, TN",Electrical Permit,$60652
2025-124914 DS,"1037 NILE ST BLDG 2, Chattanooga, TN",Driveway / Sidewalks,$284213
2024-132258 MP,"5609 BULL CREEK RD, Chattanooga, TN",Mechanical Permit,$295537
2025-138925 BP,"7102 WOODFORD WAY, Chattanooga, TN",Building Permit,$185745
2025-136471 PP,"708 W BEN WHITE BLVD SVRD WB, Chattanooga, TN",Plumbing Permit,$151343
2025-113227 PP,"2900 WILLOWBRIDGE CIR, Chattanooga, TN",Plumbing Permit,$175085
2025-095041 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Chattanooga, TN",Electrical Permit,$51700
2025-138068 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$192119
2024-106065 PP,"11505 JANUARY DR, Chattanooga, TN",Plumbing Permit,$265689
2025-134701 PP,"2601 LITTLE JOHN LN, Chattanooga, TN",Plumbing Permit,$112137
2025-133596 MP,"2401 DOVE SPRINGS DR, Chattanooga, TN",Mechanical Permit,$52469
2025-135630 BP,"1309 ALGUNO RD, Chattanooga, TN",Building Permit,$217619
2025-138204 EP,"5401 KORTH DR, Chattanooga, TN",Electrical Permit,$136943
2025-139175 BP,"8913 WINTER HAVEN RD, Chattanooga, TN",Building Permit,$120131
2025-063991 EP,"1816 ASHBY AVE, Chattanooga, TN",Electrical Permit,$124138
2025-139679 BP,"2101 MEADOWBROOK DR, Chattanooga, TN",Building Permit,$173340
2025-115590 PP,"1510 VILLANOVA DR, Chattanooga, TN",Plumbing Permit,$210473
2025-139779 BP,"3411 CACTUS WREN WAY, Chattanooga, TN",Building Permit,$69400
2025-134238 PP,"2037 SORGHUM HILL DR, Chattanooga, TN",Plumbing Permit,$293377
2025-105346 MP,"6409 ORANGE BLOSSOM WAY, Chattanooga, TN",Mechanical Permit,$180123
2025-135135 EP,"12506 N LAMAR BLVD, Chattanooga, TN",Electrical Permit,$207412
2025-130700 BP,"11901 POLLYANNA AVE, Chattanooga, TN",Building Permit,$134288
2025-139944 BP,"2504 HARTFORD RD, Chattanooga, TN",Building Permit,$209885
2025-094937 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Chattanooga, TN",Electrical Permit,$125501
2025-138683 BP,"1602 ALTA VISTA AVE, Chattanooga, TN",Building Permit,$153695
2025-134700 MP,"2601 LITTLE JOHN LN, Chattanooga, TN",Mechanical Permit,$123208
2025-134701 MP,"2601 LITTLE JOHN LN, Chattanooga, TN",Mechanical Permit,$158469
2025-134702 PP,"2601 LITTLE JOHN LN, Chattanooga, TN",Plumbing Permit,$117146
2025-123745 PP,"8820 BURNET RD UNIT 400, Chattanooga, TN",Plumbing Permit,$94959
2025-119435 MP,"5505 W PARMER LN BLDG 3, Chattanooga, TN",Mechanical Permit,$178952
2025-125373 PP,"507 PRESSLER ST UNIT 900, Chattanooga, TN",Plumbing Permit,$156615
2025-137713 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$258364
2025-136922 EP,"5223 CONCHO CREEK BND, Chattanooga, TN",Electrical Permit,$210916
2025-137242 EP,"7407 TRAVERTINE SPRING, Chattanooga, TN",Electrical Permit,$110078
2025-129619 PP,"7406 BERKMAN DR, Chattanooga, TN",Plumbing Permit,$113258
2025-139177 MP,"301 CONGRESS AVE UNIT 700, Chattanooga, TN",Mechanical Permit,$238136
2025-137567 EP,"5321 SPRING PRESERVE TRL, Chattanooga, TN",Electrical Permit,$105462
2025-136081 EP,"5300 1/2 S MOPAC EXPY SB, Chattanooga, TN",Electrical Permit,$84101
2025-138490 EP,"7718 CLOUDBERRY CIR, Chattanooga, TN",Electrical Permit,$226887
2025-124988 PP,"1204 SPEARSON LN, Chattanooga, TN",Plumbing Permit,$156196
2025-118164 BP,"2101 BURTON DR UNIT 2036, Chattanooga, TN",Building Permit,$265770
2025-104180 MP,"4405 SINCLAIR AVE Unit 1, Chattanooga, TN",Mechanical Permit,$96930
2025-138469 PP,"8405 ROCKWOOD LN, Chattanooga, TN",Plumbing Permit,$287816
2025-138543 BP,"5900 W SLAUGHTER LN BLDG C, Chattanooga, TN",Building Permit,$194960
2025-109750 PP,"2313 E 11TH ST--BLDG 2, Chattanooga, TN",Plumbing Permit,$213922
2025-053597 PP,"2506 E 2ND ST--BLDG 2, Chattanooga, TN",Plumbing Permit,$92631
2025-129922 BP,"5013 TRADING BND, Chattanooga, TN",Building Permit,$274253
2025-100143 EP,"7318 MC NEIL DR UNIT 102, Chattanooga, TN",Electrical Permit,$296789
2025-102105 PP,"813 CHRISTOPHER ST, Chattanooga, TN",Plumbing Permit,$237242
2025-136980 EP,"11216 1/2 CAMERON RD UNIT TEMP8, Chattanooga, TN",Electrical Permit,$223145
2025-139315 BP,"7004 CRYSTALBROOK DR, Chattanooga, TN",Building Permit,$273603
2025-120284 BP,"1805 E 18TH ST BLDG 2, Chattanooga, TN",Building Permit,$99637
2025-115585 PP,"2514 WILSON ST BLDG 1, Chattanooga, TN",Plumbing Permit,$212739
2025-136690 EP,"1806 PRINCETON AVE, Chattanooga, TN",Electrical Permit,$124287
2025-137118 BP,"1312 CORONA DR, Chattanooga, TN",Building Permit,$272336
2025-137036 BP,"5721 MARILYN DR, Chattanooga, TN",Building Permit,$101980
2025-131209 MP,"11601 BARCHETTA DR, Chattanooga, TN",Mechanical Permit,$113617
2025-104170 EP,"2703 OAK PARK DR, Chattanooga, TN",Electrical Permit,$50052
2025-140241 MP,"11901 CHARING CROSS RD, Chattanooga, TN",Mechanical Permit,$55307
2024-165018 MP,"3510 TOM MILLER ST BLDG 2, Chattanooga, TN",Mechanical Permit,$221906
2025-138062 BP,"5242 N LAMAR BLVD, Chattanooga, TN",Building Permit,$209030
2023-037986 PP,"67 ROBERT T MARTINEZ JR ST, Chattanooga, TN",Plumbing Permit,$246311
2025-140213 EP,"1513 CLOVERLEAF DR, Chattanooga, TN",Electrical Permit,$119905
2025-136968 EP,"1607 HOLLY ST, Chattanooga, TN",Electrical Permit,$165869
2025-057238 PP,"2608 TWIN OAKS DR, Chattanooga, TN",Plumbing Permit,$264929
2025-139809 PP,"12733 WAR PATH, Chattanooga, TN",Plumbing Permit,$205226
2025-138377 EP,"8505 FENTON DR, Chattanooga, TN",Electrical Permit,$259267
2025-138229 EP,"4833 AMESLEY CV, Chattanooga, TN",Electrical Permit,$172934
2025-046648 MP,"1106 W DITTMAR RD, Chattanooga, TN",Mechanical Permit,$227975
2025-125309 EP,"2417 ASHDALE DR UNIT B, Chattanooga, TN",Electrical Permit,$168262
2025-139253 MP,"9107 SHEPARD DR, Chattanooga, TN",Mechanical Permit,$264803
2025-137138 BP,"5414 PALO BLANCO LN, Chattanooga, TN",Building Permit,$173401
2025-136507 PP,"10000 RESEARCH BLVD SVRD SB BLDG C UNIT 4602, Chattanooga, TN",Plumbing Permit,$184777
2025-093151 MP,"8100 PONCHO PASS, Chattanooga, TN",Mechanical Permit,$182600
2025-095880 MP,"9407 SPRING HOLLOW DR, Chattanooga, TN",Mechanical Permit,$58076
2025-107111 BP,"13114 TRAVIS VIEW LOOP, Chattanooga, TN",Building Permit,$100046
2025-138652 BP,"9600 ESCARPMENT BLVD BLDG H, Chattanooga, TN",Building Permit,$235315
2025-137935 EP,"9509 BOATHOUSE DR, Chattanooga, TN",Electrical Permit,$50307
2025-120139 PP,"3904 VINELAND DR, Chattanooga, TN",Plumbing Permit,$196460
2025-139924 MP,"12001 SNOW GOOSE RD, Chattanooga, TN",Mechanical Permit,$288778
2025-078059 DS,"9300 CORVALLIS DR, Chattanooga, TN",Driveway / Sidewalks,$63204
2025-137069 PP,"5021 1/2 HIGHLAND CT, Chattanooga, TN",Plumbing Permit,$216147
2025-139117 BP,"8925 BREEZE HILL DR, Chattanooga, TN",Building Permit,$61308
2025-118161 BP,"2101 BURTON DR UNIT 1038, Chattanooga, TN",Building Permit,$123547
2025-139054 BP,"6401 BURNET LN, Chattanooga, TN",Building Permit,$247190
2025-140001 PP,"7701 METROPOLIS DR, Chattanooga, TN",Plumbing Permit,$182396
2025-137728 BP,"2901 S CAPITAL OF TEXAS HWY NB UNIT P3, Chattanooga, TN",Building Permit,$121933
2025-122296 PP,"3624 NORTH HILLS DR BLDG D UNIT 101, Chattanooga, TN",Plumbing Permit,$136966
2025-137161 PP,"508 E 49TH ST, Chattanooga, TN",Plumbing Permit,$296877
2025-140370 BP,"7003 JESTER BLVD, Chattanooga, TN",Building Permit,$66409
2025-133933 BP,"2811 E 5TH ST UNIT B, Chattanooga, TN",Building Permit,$177222
2025-139803 MP,"6718 SANDSHOF DR, Chattanooga, TN",Mechanical Permit,$173859
2025-138572 BP,"5900 W SLAUGHTER LN BLDG D, Chattanooga, TN",Building Permit,$126699
2025-134084 BP,"5720 MALCOM TRL, Chattanooga, TN",Building Permit,$85940
2025-135646 DS,"1507 JULIET ST, Chattanooga, TN",Driveway / Sidewalks,$294081
2025-128764 PP,"2100 MOUNTAIN VIEW RD UNIT A, Chattanooga, TN",Plumbing Permit,$152561
2025-139119 MP,"5710 KAYVIEW DR, Chattanooga, TN",Mechanical Permit,$262136
2025-133623 EP,"1903 BRACKENRIDGE ST, Chattanooga, TN",Electrical Permit,$217611
2025-140367 EP,"404 INWOOD RD, Chattanooga, TN",Electrical Permit,$232285
2025-118158 BP,"2101 BURTON DR UNIT 1035, Chattanooga, TN",Building Permit,$69999
2025-114995 EP,"20 MARGRANITA CRES, Chattanooga, TN",Electrical Permit,$83698
2025-139553 PP,"8001 METROPOLIS DR BLDG 2, Chattanooga, TN",Plumbing Permit,$160718
2025-139678 MP,"1505 RUTLAND DR UNIT 2, Chattanooga, TN",Mechanical Permit,$168062
2025-090097 PP,"3702 CIMA SERENA, Chattanooga, TN",Plumbing Permit,$122870
2025-118159 BP,"2101 BURTON DR UNIT 1036, Chattanooga, TN",Building Permit,$133039
2025-093414 MP,"8000 PONCHO PASS, Chattanooga, TN",Mechanical Permit,$235482
2025-140191 PP,"1408 HARDOUIN AVE, Chattanooga, TN",Plumbing Permit,$176055
2023-037986 BP,"67 ROBERT T MARTINEZ JR ST, Chattanooga, TN",Building Permit,$205202
2025-139269 MP,"4502 PLACID PL, Chattanooga, TN",Mechanical Permit,$291609
2025-130410 PP,"11005 STRASBURG LN, Chattanooga, TN",Plumbing Permit,$146092
2025-126534 BP,"1313 PASADENA DR, Chattanooga, TN",Building Permit,$239003
2025-084893 MP,"7502 NORTHCREST BLVD, Chattanooga, TN",Mechanical Permit,$74486
2025-140545 EP,"11500 ALTERRA PKWY BLDG 2, Chattanooga, TN",Electrical Permit,$192005
2025-136585 EP,"12829 WAR PATH, Chattanooga, TN",Electrical Permit,$218366
2025-118157 BP,"2101 BURTON DR UNIT 1034, Chattanooga, TN",Building Permit,$55612
2025-124208 BP,"1114 TERRY DR, Chattanooga, TN",Building Permit,$209340
2025-119017 EP,"9020 BROWN LN, Chattanooga, TN",Electrical Permit,$146508
2025-093436 MP,"8811 COSMICO ST, Chattanooga, TN",Mechanical Permit,$102216
2025-137524 EP,"3803 PALOMAR LN, Chattanooga, TN",Electrical Permit,$171349
2025-111859 PP,"5914 LOST HORIZON DR, Chattanooga, TN",Plumbing Permit,$72505
2025-139825 PP,"9735 CINNABAR TRL, Chattanooga, TN",Plumbing Permit,$221890
2025-116916 EP,"11301 DOMAIN DR, Chattanooga, TN",Electrical Permit,$73065
2025-120285 BP,"1805 E 18TH ST BLDG 3, Chattanooga, TN",Building Permit,$185281
2025-058780 MP,"5602 FORKS RD, Chattanooga, TN",Mechanical Permit,$242203
2025-116247 EP,"7010 EASY WIND DR UNIT 130, Chattanooga, TN",Electrical Permit,$134290
2025-140446 EP,"2705 LYONS RD, Chattanooga, TN",Electrical Permit,$244606
2025-139212 BP,"2607 BAXTER DR, Chattanooga, TN",Building Permit,$228704
2025-137671 BP,"618 1/2 TILLERY ST, Chattanooga, TN",Building Permit,$137864
2025-093438 MP,"8814 COSMICO ST, Chattanooga, TN",Mechanical Permit,$171987
2025-114534 MP,"7101 W SH 71, Chattanooga, TN",Mechanical Permit,$231574
2025-121057 PP,"2101 PAYNE AVE BLDG 2, Chattanooga, TN",Plumbing Permit,$290899
2025-140187 PP,"10400 BRIMFIELD DR, Chattanooga, TN",Plumbing Permit,$180524
2025-063204 MP,"1111 W 6TH ST UNIT 430, Chattanooga, TN",Mechanical Permit,$178030
2025-139802 PP,"8010 DAVIS MOUNTAIN PASS, Chattanooga, TN",Plumbing Permit,$198694
2025-136691 MP,"1806 PRINCETON AVE, Chattanooga, TN",Mechanical Permit,$101882
2025-087390 DS,"1197 COLETO ST, Chattanooga, TN",Driveway / Sidewalks,$99966
2025-138281 EP,"1900 STEAMBOAT SPRINGS CV, Chattanooga, TN",Electrical Permit,$257520
2024-165015 MP,"3510 TOM MILLER ST BLDG 1, Chattanooga, TN",Mechanical Permit,$146394
2025-093152 MP,"8102 PONCHO PASS, Chattanooga, TN",Mechanical Permit,$186699
2025-093150 MP,"8004 PONCHO PASS, Chattanooga, TN",Mechanical Permit,$191183
2025-118163 BP,"2101 BURTON DR UNIT 2035, Chattanooga, TN",Building Permit,$193492
2025-070464 EP,"8127 MESA DR, Chattanooga, TN",Electrical Permit,$178746
2025-091047 BP,"5505 W PARMER LN BLDG CP1, Chattanooga, TN",Building Permit,$265289
2025-136546 EP,"12829 WAR PATH, Chattanooga, TN",Electrical Permit,$272771
2025-139993 BP,"1818 DYWER AVE, Chattanooga, TN",Building Permit,$117406
2025-105518 MP,"7600 BURNET RD UNIT 240, Chattanooga, TN",Mechanical Permit,$50870
2025-139041 BP,"2205 PASADENA DR, Chattanooga, TN",Building Permit,$184810
2025-133926 MP,"1905 WILLOW CREEK DR UNIT 108, Chattanooga, TN",Mechanical Permit,$64794
2025-139504 MP,"1083 VERBENA DR, Chattanooga, TN",Mechanical Permit,$64300
2025-086424 PP,"1158 BROOKSWOOD AVE BLDG 2, Chattanooga, TN",Plumbing Permit,$171687
2025-054396 MP,"1403 W 39TH HALF ST, Chattanooga, TN",Mechanical Permit,$199101
2025-138608 PP,"1703 WOODLAND AVE UNIT B, Chattanooga, TN",Plumbing Permit,$69186
2025-137274 EP,"5301 RIATA PARK CT BLDG D, Chattanooga, TN",Electrical Permit,$141714
2025-139235 MP,"7108 GENTLE OAK DR, Chattanooga, TN",Mechanical Permit,$88223
2025-138786 EP,"2909 YANDALL DR, Chattanooga, TN",Electrical Permit,$82428
2025-078665 PP,"1903 NORTHRIDGE DR, Chattanooga, TN",Plumbing Permit,$174479
2024-156810 DS,"3504 PICKLE DR, Chattanooga, TN",Driveway / Sidewalks,$177193
2025-105518 PP,"7600 BURNET RD UNIT 240, Chattanooga, TN",Plumbing Permit,$158774
2025-139259 MP,"6711 MODESTO ST, Chattanooga, TN",Mechanical Permit,$178132
2025-136467 EP,"8001 1/2 FINIAL DR, Chattanooga, TN",Electrical Permit,$135600
2025-109425 BP,"2001 KENWOOD AVE, Chattanooga, TN",Building Permit,$238900
2025-121056 PP,"2101 PAYNE AVE BLDG 1, Chattanooga, TN",Plumbing Permit,$103715
2025-083069 BP,"4208 BAMFORD DR, Chattanooga, TN",Building Permit,$95453
2025-122295 EP,"3624 NORTH HILLS DR BLDG C UNIT 101, Chattanooga, TN",Electrical Permit,$54151
2025-093437 MP,"8812 COSMICO ST, Chattanooga, TN",Mechanical Permit,$268842
2025-139177 EP,"301 CONGRESS AVE UNIT 700, Chattanooga, TN",Electrical Permit,$261910
2025-125323 PP,"7225 ROSS RD, Chattanooga, TN",Plumbing Permit,$296335
2025-138148 PP,"7007 BURNELL DR, Chattanooga, TN",Plumbing Permit,$262892
2025-098087 PP,"502 W LONGSPUR BLVD BLDG 9, Chattanooga, TN",Plumbing Permit,$254206
2025-124492 EP,"3204 LYONS RD, Chattanooga, TN",Electrical Permit,$199971
2025-054302 PP,"4616 CRESTWAY DR BLDG 2, Chattanooga, TN",Plumbing Permit,$135551
2025-125105 BP,"1100 S LAMAR BLVD BLDG 2 UNIT 2140, Chattanooga, TN",Building Permit,$99095
2025-118160 BP,"2101 BURTON DR UNIT 1037, Chattanooga, TN",Building Permit,$207001
2025-132263 EP,"708 1/2 W SLAUGHTER LN, Chattanooga, TN",Electrical Permit,$59556
2025-137059 BP,"11815 EUBANK DR, Chattanooga, TN",Building Permit,$207294
2025-136988 EP,"11216 1/2 CAMERON RD UNIT TEMP10, Chattanooga, TN",Electrical Permit,$145698
2025-118165 BP,"2101 BURTON DR UNIT 2037, Chattanooga, TN",Building Permit,$220887
2025-113320 EP,"5815 ABILENE TRL, Chattanooga, TN",Electrical Permit,$297066
2025-138711 MP,"201 W 5TH ST UNIT 1450, Chattanooga, TN",Mechanical Permit,$225664
2025-118162 BP,"2101 BURTON DR UNIT 2034, Chattanooga, TN",Building Permit,$225272
2025-139503 MP,"2028 ANTONE ST, Chattanooga, TN",Mechanical Permit,$121443
2025-120283 BP,"1805 E 18TH ST BLDG 1, Chattanooga, TN",Building Permit,$136092
2025-137844 MP,"11203 FM 2222 RD UNIT 2001, Chattanooga, TN",Mechanical Permit,$54473
2025-139563 PP,"8001 METROPOLIS DR BLDG 3, Chattanooga, TN",Plumbing Permit,$260961
2025-091518 MP,"4509 EDGEMONT DR, Chattanooga, TN",Mechanical Permit,$250370
2025-138613 PP,"3429 MONTE VISTA DR, Chattanooga, TN",Plumbing Permit,$268447
2025-138685 PP,"12901 STAYWELL WAY, Chattanooga, TN",Plumbing Permit,$166713
2025-135747 PP,"5816 BRITTLYNS CT, Chattanooga, TN",Plumbing Permit,$79120
2025-128765 PP,"2100 MOUNTAIN VIEW RD UNIT B, Chattanooga, TN",Plumbing Permit,$186165
