permit_number,address,type,value
2025-016422 EP,"3405 1/2 STECK AVE, Austin, TX",Electrical Permit,$257809
2025-138471 BP,"7119 STITZEL WELLER DR, Austin, TX",Building Permit,$88228
2025-130701 MP,"2020 SIMOND AVE UNIT D, Austin, TX",Mechanical Permit,$291413
2025-139153 PP,"6303 INDIAN CANYON DR, Austin, TX",Plumbing Permit,$208420
2025-134700 PP,"2601 LITTLE JOHN LN, Austin, TX",Plumbing Permit,$98502
2025-130143 PP,"4902 TORTUGA PL, Austin, TX",Plumbing Permit,$111720
2025-138673 PP,"12515 LAMPLIGHT VILLAGE AVE, Austin, TX",Plumbing Permit,$254406
2025-139097 PP,"2516 STAR GRASS CIR, Austin, TX",Plumbing Permit,$175068
2025-133041 PP,"4302 WATERFORD PL, Austin, TX",Plumbing Permit,$162524
2025-136207 PP,"8400 JAMESTOWN DR UNIT 318, Austin, TX",Plumbing Permit,$164031
2025-094954 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Austin, TX",Electrical Permit,$243146
2025-137073 EP,"1106 CRIPPLE CREEK DR, Austin, TX",Electrical Permit,$194347
2025-138166 EP,"5624 N LAMAR BLVD, Austin, TX",Electrical Permit,$231086
2025-062757 PP,"8350 W US 290 HWY, Austin, TX",Plumbing Permit,$288237
2025-136714 EP,"11436 RUSTIC ROCK DR, Austin, TX",Electrical Permit,$145293
2025-132470 BP,"9001 BERRYLINE CV, Austin, TX",Building Permit,$233952
2025-114107 PP,"1407 E 3RD ST, Austin, TX",Plumbing Permit,$57390
2025-134078 PP,"300 W 34TH ST, Austin, TX",Plumbing Permit,$233264
2025-136927 PP,"5006 ACORN GROVE CT, Austin, TX",Plumbing Permit,$54537
2025-105802 EP,"2003 GREENWOOD AVE, Austin, TX",Electrical Permit,$292024
2025-138081 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$146091
2025-136524 MP,"7212 MONTANA NORTE, Austin, TX",Mechanical Permit,$284447
2025-125262 PP,"7112 ED BLUESTEIN BLVD SVRD SB UNIT 132, Austin, TX",Plumbing Permit,$146910
2025-129612 PP,"6700 ISABELLE DR, Austin, TX",Plumbing Permit,$240580
2025-138063 EP,"6909 MIRANDA DR, Austin, TX",Electrical Permit,$296570
2025-135631 BP,"1309 ALGUNO RD BLDG 2, Austin, TX",Building Permit,$77076
2025-138610 BP,"11404 BELLOWS FALLS AVE, Austin, TX",Building Permit,$299528
2025-139493 BP,"7807 ELKHORN MOUNTAIN TRL, Austin, TX",Building Permit,$163282
2025-136238 PP,"13400 BRIARWICK DR UNIT 1404, Austin, TX",Plumbing Permit,$136523
2025-103490 PP,"1807 VISTA LN, Austin, TX",Plumbing Permit,$246161
2025-136190 PP,"4620 W WILLIAM CANNON DR BLDG 40-J, Austin, TX",Plumbing Permit,$95325
2025-123743 EP,"8820 BURNET RD UNIT 400, Austin, TX",Electrical Permit,$87047
2025-138161 EP,"5624 N LAMAR BLVD, Austin, TX",Electrical Permit,$54166
2025-138137 EP,"3803 WOODBROOK CIR, Austin, TX",Electrical Permit,$87455
2025-138201 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$257225
2025-138533 MP,"10004 CHUKAR CIR, Austin, TX",Mechanical Permit,$226188
2025-134948 EP,"3205 GILBERT ST, Austin, TX",Electrical Permit,$163996
2025-139183 BP,"2007 ARPDALE ST, Austin, TX",Building Permit,$180587
2025-130306 MP,"1701 SIMOND AVE UNIT 107B, Austin, TX",Mechanical Permit,$201532
2025-030157 EP,"3105 WHITE ROCK DR, Austin, TX",Electrical Permit,$151823
2025-139183 EP,"2007 ARPDALE ST, Austin, TX",Electrical Permit,$132497
2025-134243 EP,"2800 W FRESCO DR, Austin, TX",Electrical Permit,$253635
2023-112296 EP,"11420 ALTERRA PKWY, Austin, TX",Electrical Permit,$88413
2025-138235 BP,"2947 E 14TH ST, Austin, TX",Building Permit,$146532
2025-119793 EP,"2207 REBEL RD, Austin, TX",Electrical Permit,$57427
2025-124914 DS,"1037 NILE ST BLDG 2, Austin, TX",Driveway / Sidewalks,$67233
2024-132258 MP,"5609 BULL CREEK RD, Austin, TX",Mechanical Permit,$267533
2025-138925 BP,"7102 WOODFORD WAY, Austin, TX",Building Permit,$242445
2025-136471 PP,"708 W BEN WHITE BLVD SVRD WB, Austin, TX",Plumbing Permit,$116816
2025-113227 PP,"2900 WILLOWBRIDGE CIR, Austin, TX",Plumbing Permit,$129677
2025-095041 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Austin, TX",Electrical Permit,$274188
2025-138068 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$157733
2024-106065 PP,"11505 JANUARY DR, Austin, TX",Plumbing Permit,$73557
2025-134701 PP,"2601 LITTLE JOHN LN, Austin, TX",Plumbing Permit,$291275
2025-133596 MP,"2401 DOVE SPRINGS DR, Austin, TX",Mechanical Permit,$279004
2025-135630 BP,"1309 ALGUNO RD, Austin, TX",Building Permit,$51248
2025-138204 EP,"5401 KORTH DR, Austin, TX",Electrical Permit,$148153
2025-139175 BP,"8913 WINTER HAVEN RD, Austin, TX",Building Permit,$85577
2025-063991 EP,"1816 ASHBY AVE, Austin, TX",Electrical Permit,$115462
2025-139679 BP,"2101 MEADOWBROOK DR, Austin, TX",Building Permit,$132059
2025-115590 PP,"1510 VILLANOVA DR, Austin, TX",Plumbing Permit,$264702
2025-139779 BP,"3411 CACTUS WREN WAY, Austin, TX",Building Permit,$119799
2025-134238 PP,"2037 SORGHUM HILL DR, Austin, TX",Plumbing Permit,$215119
2025-105346 MP,"6409 ORANGE BLOSSOM WAY, Austin, TX",Mechanical Permit,$179367
2025-135135 EP,"12506 N LAMAR BLVD, Austin, TX",Electrical Permit,$130741
2025-130700 BP,"11901 POLLYANNA AVE, Austin, TX",Building Permit,$272121
2025-139944 BP,"2504 HARTFORD RD, Austin, TX",Building Permit,$120075
2025-094937 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Austin, TX",Electrical Permit,$206350
2025-138683 BP,"1602 ALTA VISTA AVE, Austin, TX",Building Permit,$214954
2025-134700 MP,"2601 LITTLE JOHN LN, Austin, TX",Mechanical Permit,$92866
2025-134701 MP,"2601 LITTLE JOHN LN, Austin, TX",Mechanical Permit,$205398
2025-134702 PP,"2601 LITTLE JOHN LN, Austin, TX",Plumbing Permit,$269526
2025-123745 PP,"8820 BURNET RD UNIT 400, Austin, TX",Plumbing Permit,$241293
2025-119435 MP,"5505 W PARMER LN BLDG 3, Austin, TX",Mechanical Permit,$205413
2025-125373 PP,"507 PRESSLER ST UNIT 900, Austin, TX",Plumbing Permit,$169075
2025-137713 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$196175
2025-136922 EP,"5223 CONCHO CREEK BND, Austin, TX",Electrical Permit,$281727
2025-137242 EP,"7407 TRAVERTINE SPRING, Austin, TX",Electrical Permit,$129620
2025-129619 PP,"7406 BERKMAN DR, Austin, TX",Plumbing Permit,$87907
2025-139177 MP,"301 CONGRESS AVE UNIT 700, Austin, TX",Mechanical Permit,$94944
2025-137567 EP,"5321 SPRING PRESERVE TRL, Austin, TX",Electrical Permit,$161017
2025-136081 EP,"5300 1/2 S MOPAC EXPY SB, Austin, TX",Electrical Permit,$51284
2025-138490 EP,"7718 CLOUDBERRY CIR, Austin, TX",Electrical Permit,$184641
2025-124988 PP,"1204 SPEARSON LN, Austin, TX",Plumbing Permit,$111805
2025-118164 BP,"2101 BURTON DR UNIT 2036, Austin, TX",Building Permit,$262515
2025-104180 MP,"4405 SINCLAIR AVE Unit 1, Austin, TX",Mechanical Permit,$278005
2025-138469 PP,"8405 ROCKWOOD LN, Austin, TX",Plumbing Permit,$290741
2025-138543 BP,"5900 W SLAUGHTER LN BLDG C, Austin, TX",Building Permit,$122185
2025-109750 PP,"2313 E 11TH ST--BLDG 2, Austin, TX",Plumbing Permit,$294040
2025-053597 PP,"2506 E 2ND ST--BLDG 2, Austin, TX",Plumbing Permit,$113159
2025-129922 BP,"5013 TRADING BND, Austin, TX",Building Permit,$184008
2025-100143 EP,"7318 MC NEIL DR UNIT 102, Austin, TX",Electrical Permit,$82470
2025-102105 PP,"813 CHRISTOPHER ST, Austin, TX",Plumbing Permit,$114399
2025-136980 EP,"11216 1/2 CAMERON RD UNIT TEMP8, Austin, TX",Electrical Permit,$226904
2025-139315 BP,"7004 CRYSTALBROOK DR, Austin, TX",Building Permit,$265747
2025-120284 BP,"1805 E 18TH ST BLDG 2, Austin, TX",Building Permit,$170931
2025-115585 PP,"2514 WILSON ST BLDG 1, Austin, TX",Plumbing Permit,$130698
2025-136690 EP,"1806 PRINCETON AVE, Austin, TX",Electrical Permit,$274454
2025-137118 BP,"1312 CORONA DR, Austin, TX",Building Permit,$136353
2025-137036 BP,"5721 MARILYN DR, Austin, TX",Building Permit,$242223
2025-131209 MP,"11601 BARCHETTA DR, Austin, TX",Mechanical Permit,$127412
2025-104170 EP,"2703 OAK PARK DR, Austin, TX",Electrical Permit,$202491
2025-140241 MP,"11901 CHARING CROSS RD, Austin, TX",Mechanical Permit,$104231
2024-165018 MP,"3510 TOM MILLER ST BLDG 2, Austin, TX",Mechanical Permit,$181831
2025-138062 BP,"5242 N LAMAR BLVD, Austin, TX",Building Permit,$111220
2023-037986 PP,"67 ROBERT T MARTINEZ JR ST, Austin, TX",Plumbing Permit,$135421
2025-140213 EP,"1513 CLOVERLEAF DR, Austin, TX",Electrical Permit,$161630
2025-136968 EP,"1607 HOLLY ST, Austin, TX",Electrical Permit,$68518
2025-057238 PP,"2608 TWIN OAKS DR, Austin, TX",Plumbing Permit,$248305
2025-139809 PP,"12733 WAR PATH, Austin, TX",Plumbing Permit,$233223
2025-138377 EP,"8505 FENTON DR, Austin, TX",Electrical Permit,$96404
2025-138229 EP,"4833 AMESLEY CV, Austin, TX",Electrical Permit,$258602
2025-046648 MP,"1106 W DITTMAR RD, Austin, TX",Mechanical Permit,$273907
2025-125309 EP,"2417 ASHDALE DR UNIT B, Austin, TX",Electrical Permit,$232671
2025-139253 MP,"9107 SHEPARD DR, Austin, TX",Mechanical Permit,$236906
2025-137138 BP,"5414 PALO BLANCO LN, Austin, TX",Building Permit,$78552
2025-136507 PP,"10000 RESEARCH BLVD SVRD SB BLDG C UNIT 4602, Austin, TX",Plumbing Permit,$161000
2025-093151 MP,"8100 PONCHO PASS, Austin, TX",Mechanical Permit,$201748
2025-095880 MP,"9407 SPRING HOLLOW DR, Austin, TX",Mechanical Permit,$262527
2025-107111 BP,"13114 TRAVIS VIEW LOOP, Austin, TX",Building Permit,$196002
2025-138652 BP,"9600 ESCARPMENT BLVD BLDG H, Austin, TX",Building Permit,$84770
2025-137935 EP,"9509 BOATHOUSE DR, Austin, TX",Electrical Permit,$89368
2025-120139 PP,"3904 VINELAND DR, Austin, TX",Plumbing Permit,$192840
2025-139924 MP,"12001 SNOW GOOSE RD, Austin, TX",Mechanical Permit,$106418
2025-078059 DS,"9300 CORVALLIS DR, Austin, TX",Driveway / Sidewalks,$189984
2025-137069 PP,"5021 1/2 HIGHLAND CT, Austin, TX",Plumbing Permit,$52664
2025-139117 BP,"8925 BREEZE HILL DR, Austin, TX",Building Permit,$219725
2025-118161 BP,"2101 BURTON DR UNIT 1038, Austin, TX",Building Permit,$178315
2025-139054 BP,"6401 BURNET LN, Austin, TX",Building Permit,$124813
2025-140001 PP,"7701 METROPOLIS DR, Austin, TX",Plumbing Permit,$295217
2025-137728 BP,"2901 S CAPITAL OF TEXAS HWY NB UNIT P3, Austin, TX",Building Permit,$58995
2025-122296 PP,"3624 NORTH HILLS DR BLDG D UNIT 101, Austin, TX",Plumbing Permit,$105409
2025-137161 PP,"508 E 49TH ST, Austin, TX",Plumbing Permit,$72131
2025-140370 BP,"7003 JESTER BLVD, Austin, TX",Building Permit,$291416
2025-133933 BP,"2811 E 5TH ST UNIT B, Austin, TX",Building Permit,$258746
2025-139803 MP,"6718 SANDSHOF DR, Austin, TX",Mechanical Permit,$289403
2025-138572 BP,"5900 W SLAUGHTER LN BLDG D, Austin, TX",Building Permit,$180308
2025-134084 BP,"5720 MALCOM TRL, Austin, TX",Building Permit,$264709
2025-135646 DS,"1507 JULIET ST, Austin, TX",Driveway / Sidewalks,$133386
2025-128764 PP,"2100 MOUNTAIN VIEW RD UNIT A, Austin, TX",Plumbing Permit,$93731
2025-139119 MP,"5710 KAYVIEW DR, Austin, TX",Mechanical Permit,$273905
2025-133623 EP,"1903 BRACKENRIDGE ST, Austin, TX",Electrical Permit,$97836
2025-140367 EP,"404 INWOOD RD, Austin, TX",Electrical Permit,$90372
2025-118158 BP,"2101 BURTON DR UNIT 1035, Austin, TX",Building Permit,$158241
2025-114995 EP,"20 MARGRANITA CRES, Austin, TX",Electrical Permit,$232595
2025-139553 PP,"8001 METROPOLIS DR BLDG 2, Austin, TX",Plumbing Permit,$135530
2025-139678 MP,"1505 RUTLAND DR UNIT 2, Austin, TX",Mechanical Permit,$168599
2025-090097 PP,"3702 CIMA SERENA, Austin, TX",Plumbing Permit,$149095
2025-118159 BP,"2101 BURTON DR UNIT 1036, Austin, TX",Building Permit,$107914
2025-093414 MP,"8000 PONCHO PASS, Austin, TX",Mechanical Permit,$224501
2025-140191 PP,"1408 HARDOUIN AVE, Austin, TX",Plumbing Permit,$233800
2023-037986 BP,"67 ROBERT T MARTINEZ JR ST, Austin, TX",Building Permit,$222908
2025-139269 MP,"4502 PLACID PL, Austin, TX",Mechanical Permit,$107932
2025-130410 PP,"11005 STRASBURG LN, Austin, TX",Plumbing Permit,$163067
2025-126534 BP,"1313 PASADENA DR, Austin, TX",Building Permit,$89286
2025-084893 MP,"7502 NORTHCREST BLVD, Austin, TX",Mechanical Permit,$125000
2025-140545 EP,"11500 ALTERRA PKWY BLDG 2, Austin, TX",Electrical Permit,$247979
2025-136585 EP,"12829 WAR PATH, Austin, TX",Electrical Permit,$235046
2025-118157 BP,"2101 BURTON DR UNIT 1034, Austin, TX",Building Permit,$131703
2025-124208 BP,"1114 TERRY DR, Austin, TX",Building Permit,$195657
2025-119017 EP,"9020 BROWN LN, Austin, TX",Electrical Permit,$210943
2025-093436 MP,"8811 COSMICO ST, Austin, TX",Mechanical Permit,$136083
2025-137524 EP,"3803 PALOMAR LN, Austin, TX",Electrical Permit,$254588
2025-111859 PP,"5914 LOST HORIZON DR, Austin, TX",Plumbing Permit,$293407
2025-139825 PP,"9735 CINNABAR TRL, Austin, TX",Plumbing Permit,$63381
2025-116916 EP,"11301 DOMAIN DR, Austin, TX",Electrical Permit,$78007
2025-120285 BP,"1805 E 18TH ST BLDG 3, Austin, TX",Building Permit,$106551
2025-058780 MP,"5602 FORKS RD, Austin, TX",Mechanical Permit,$113360
2025-116247 EP,"7010 EASY WIND DR UNIT 130, Austin, TX",Electrical Permit,$250803
2025-140446 EP,"2705 LYONS RD, Austin, TX",Electrical Permit,$243538
2025-139212 BP,"2607 BAXTER DR, Austin, TX",Building Permit,$211895
2025-137671 BP,"618 1/2 TILLERY ST, Austin, TX",Building Permit,$153437
2025-093438 MP,"8814 COSMICO ST, Austin, TX",Mechanical Permit,$292462
2025-114534 MP,"7101 W SH 71, Austin, TX",Mechanical Permit,$155260
2025-121057 PP,"2101 PAYNE AVE BLDG 2, Austin, TX",Plumbing Permit,$201108
2025-140187 PP,"10400 BRIMFIELD DR, Austin, TX",Plumbing Permit,$67183
2025-063204 MP,"1111 W 6TH ST UNIT 430, Austin, TX",Mechanical Permit,$285515
2025-139802 PP,"8010 DAVIS MOUNTAIN PASS, Austin, TX",Plumbing Permit,$109945
2025-136691 MP,"1806 PRINCETON AVE, Austin, TX",Mechanical Permit,$91561
2025-087390 DS,"1197 COLETO ST, Austin, TX",Driveway / Sidewalks,$296640
2025-138281 EP,"1900 STEAMBOAT SPRINGS CV, Austin, TX",Electrical Permit,$285154
2024-165015 MP,"3510 TOM MILLER ST BLDG 1, Austin, TX",Mechanical Permit,$164528
2025-093152 MP,"8102 PONCHO PASS, Austin, TX",Mechanical Permit,$112736
2025-093150 MP,"8004 PONCHO PASS, Austin, TX",Mechanical Permit,$281255
2025-118163 BP,"2101 BURTON DR UNIT 2035, Austin, TX",Building Permit,$92229
2025-070464 EP,"8127 MESA DR, Austin, TX",Electrical Permit,$188338
2025-091047 BP,"5505 W PARMER LN BLDG CP1, Austin, TX",Building Permit,$50006
2025-136546 EP,"12829 WAR PATH, Austin, TX",Electrical Permit,$265142
2025-139993 BP,"1818 DYWER AVE, Austin, TX",Building Permit,$184011
2025-105518 MP,"7600 BURNET RD UNIT 240, Austin, TX",Mechanical Permit,$83808
2025-139041 BP,"2205 PASADENA DR, Austin, TX",Building Permit,$161623
2025-133926 MP,"1905 WILLOW CREEK DR UNIT 108, Austin, TX",Mechanical Permit,$146698
2025-139504 MP,"1083 VERBENA DR, Austin, TX",Mechanical Permit,$194549
2025-086424 PP,"1158 BROOKSWOOD AVE BLDG 2, Austin, TX",Plumbing Permit,$252255
2025-054396 MP,"1403 W 39TH HALF ST, Austin, TX",Mechanical Permit,$154044
2025-138608 PP,"1703 WOODLAND AVE UNIT B, Austin, TX",Plumbing Permit,$286049
2025-137274 EP,"5301 RIATA PARK CT BLDG D, Austin, TX",Electrical Permit,$135162
2025-139235 MP,"7108 GENTLE OAK DR, Austin, TX",Mechanical Permit,$133055
2025-138786 EP,"2909 YANDALL DR, Austin, TX",Electrical Permit,$50830
2025-078665 PP,"1903 NORTHRIDGE DR, Austin, TX",Plumbing Permit,$91814
2024-156810 DS,"3504 PICKLE DR, Austin, TX",Driveway / Sidewalks,$146244
2025-105518 PP,"7600 BURNET RD UNIT 240, Austin, TX",Plumbing Permit,$97674
2025-139259 MP,"6711 MODESTO ST, Austin, TX",Mechanical Permit,$78515
2025-136467 EP,"8001 1/2 FINIAL DR, Austin, TX",Electrical Permit,$217088
2025-109425 BP,"2001 KENWOOD AVE, Austin, TX",Building Permit,$78371
2025-121056 PP,"2101 PAYNE AVE BLDG 1, Austin, TX",Plumbing Permit,$89154
2025-083069 BP,"4208 BAMFORD DR, Austin, TX",Building Permit,$183590
2025-122295 EP,"3624 NORTH HILLS DR BLDG C UNIT 101, Austin, TX",Electrical Permit,$241950
2025-093437 MP,"8812 COSMICO ST, Austin, TX",Mechanical Permit,$73977
2025-139177 EP,"301 CONGRESS AVE UNIT 700, Austin, TX",Electrical Permit,$67736
2025-125323 PP,"7225 ROSS RD, Austin, TX",Plumbing Permit,$255867
2025-138148 PP,"7007 BURNELL DR, Austin, TX",Plumbing Permit,$270340
2025-098087 PP,"502 W LONGSPUR BLVD BLDG 9, Austin, TX",Plumbing Permit,$289032
2025-124492 EP,"3204 LYONS RD, Austin, TX",Electrical Permit,$140704
2025-054302 PP,"4616 CRESTWAY DR BLDG 2, Austin, TX",Plumbing Permit,$284806
2025-125105 BP,"1100 S LAMAR BLVD BLDG 2 UNIT 2140, Austin, TX",Building Permit,$116810
2025-118160 BP,"2101 BURTON DR UNIT 1037, Austin, TX",Building Permit,$272537
2025-132263 EP,"708 1/2 W SLAUGHTER LN, Austin, TX",Electrical Permit,$104842
2025-137059 BP,"11815 EUBANK DR, Austin, TX",Building Permit,$221258
2025-136988 EP,"11216 1/2 CAMERON RD UNIT TEMP10, Austin, TX",Electrical Permit,$123681
2025-118165 BP,"2101 BURTON DR UNIT 2037, Austin, TX",Building Permit,$50403
2025-113320 EP,"5815 ABILENE TRL, Austin, TX",Electrical Permit,$109441
2025-138711 MP,"201 W 5TH ST UNIT 1450, Austin, TX",Mechanical Permit,$272882
2025-118162 BP,"2101 BURTON DR UNIT 2034, Austin, TX",Building Permit,$160703
2025-139503 MP,"2028 ANTONE ST, Austin, TX",Mechanical Permit,$189239
2025-120283 BP,"1805 E 18TH ST BLDG 1, Austin, TX",Building Permit,$251112
2025-137844 MP,"11203 FM 2222 RD UNIT 2001, Austin, TX",Mechanical Permit,$105034
2025-139563 PP,"8001 METROPOLIS DR BLDG 3, Austin, TX",Plumbing Permit,$158536
2025-091518 MP,"4509 EDGEMONT DR, Austin, TX",Mechanical Permit,$188550
2025-138613 PP,"3429 MONTE VISTA DR, Austin, TX",Plumbing Permit,$50004
2025-138685 PP,"12901 STAYWELL WAY, Austin, TX",Plumbing Permit,$292721
2025-135747 PP,"5816 BRITTLYNS CT, Austin, TX",Plumbing Permit,$60479
2025-128765 PP,"2100 MOUNTAIN VIEW RD UNIT B, Austin, TX",Plumbing Permit,$139215
2025-136991 EP,"11216 1/2 CAMERON RD UNIT TEMP11, Austin, TX",Electrical Permit,$76802
2025-137735 PP,"1510 WESTOVER RD, Austin, TX",Plumbing Permit,$115477
2025-139676 MP,"1505 RUTLAND DR UNIT 1, Austin, TX",Mechanical Permit,$279782
2025-139880 MP,"4017 IDALIA DR, Austin, TX",Mechanical Permit,$199715
2025-139704 PP,"8703 DULCET DR, Austin, TX",Plumbing Permit,$287577
2025-135136 EP,"12506 N LAMAR BLVD, Austin, TX",Electrical Permit,$231008
2025-139665 MP,"8312 STEAMLINE CIR, Austin, TX",Mechanical Permit,$203380
2025-137514 MP,"2239 CROMWELL CIR UNIT 1506, Austin, TX",Mechanical Permit,$258706
2025-128688 EP,"16037 COWSLIP WAY, Austin, TX",Electrical Permit,$204657
2025-139540 BP,"8 PASCAL LN, Austin, TX",Building Permit,$277292
2025-139472 EP,"7000 METROPOLIS DR UNIT 200, Austin, TX",Electrical Permit,$118180
2025-139009 BP,"12417 TURTLEBACK LN, Austin, TX",Building Permit,$122919
2025-140279 MP,"9508 GOLDEN HILLS CIR, Austin, TX",Mechanical Permit,$113981
2025-030088 PP,"2705 WARREN ST, Austin, TX",Plumbing Permit,$99408
2025-095109 PP,"1704 TRAVIS HEIGHTS BLVD, Austin, TX",Plumbing Permit,$291964
2025-128687 EP,"16024 COWSLIP WAY, Austin, TX",Electrical Permit,$231745
2025-070548 MP,"601 VERMONT RD--BLDG 1, Austin, TX",Mechanical Permit,$96335
2024-164891 MP,"3502 TOM MILLER ST BLDG 2, Austin, TX",Mechanical Permit,$273687
2025-128697 EP,"16012 COWSLIP WAY, Austin, TX",Electrical Permit,$297943
2025-139705 BP,"400 W CESAR CHAVEZ ST, Austin, TX",Building Permit,$209397
