permit_number,address,type,value
2025-142764 PP,"2400 ALLRED DR UNIT A, Nashville, TN",Plumbing Permit,$224235
2025-129927 EP,"401 W 3RD ST, Nashville, TN",Electrical Permit,$240844
2025-115076 PP,"408 JOSEPHINE ST, Nashville, TN",Plumbing Permit,$147117
2025-143828 BP,"4206 FARHILLS DR, Nashville, TN",Building Permit,$196803
2025-142573 PP,"1600 WATERLOO TRL BLDG B, Nashville, TN",Plumbing Permit,$241423
2025-142171 EP,"11603 SHIMMERING SEA DR, Nashville, TN",Electrical Permit,$77172
2025-141723 PP,"3613 BLUESTEIN DR, Nashville, TN",Plumbing Permit,$262690
2025-143982 BP,"8301 JOHNNY MORRIS RD BLDG DP3, Nashville, TN",Building Permit,$146458
2025-119118 MP,"2200 BRISTOL DR, Nashville, TN",Mechanical Permit,$240905
2025-142330 PP,"8406 FURNESS DR, Nashville, TN",Plumbing Permit,$77137
2025-142585 PP,"5725 PINON VISTA DR, Nashville, TN",Plumbing Permit,$148871
2025-144138 EP,"5916 SWEDISH FARMS TER, Nashville, TN",Electrical Permit,$292989
2025-144002 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$275418
2025-144000 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$250974
2025-144246 BP,"5501 W PARMER LN BLDG 2, Nashville, TN",Building Permit,$71303
2025-141835 MP,"7910 CEBERRY DR UNIT B, Nashville, TN",Mechanical Permit,$104148
2025-141529 MP,"3405 CLEARVIEW DR, Nashville, TN",Mechanical Permit,$76400
2025-142037 PP,"11300 AVERING LN, Nashville, TN",Plumbing Permit,$207694
2025-140881 EP,"3501 ALPINE CIR BLDG B, Nashville, TN",Electrical Permit,$92883
2025-140169 EP,"4203 AVENUE G, Nashville, TN",Electrical Permit,$60332
2025-142940 MP,"4910 WEST FRANCES PL, Nashville, TN",Mechanical Permit,$107943
2025-117439 EP,"11101 TOWNSHIP CV, Nashville, TN",Electrical Permit,$134783
2025-131919 MP,"5804 CHERRY CREEK DR, Nashville, TN",Mechanical Permit,$244714
2025-142426 MP,"7260 CORONADO CIR, Nashville, TN",Mechanical Permit,$117560
2025-143044 EP,"5808 GATESHEAD DR, Nashville, TN",Electrical Permit,$194099
2025-135587 MP,"3611 SERENA WOODS CT, Nashville, TN",Mechanical Permit,$148446
2025-123891 EP,"10609 SANS SOUCI PL, Nashville, TN",Electrical Permit,$138446
2025-141486 MP,"11000 WANDERING WAY, Nashville, TN",Mechanical Permit,$241831
2025-141496 MP,"11205 COUNTY DOWN DR, Nashville, TN",Mechanical Permit,$93365
2025-141675 MP,"3600 S LAMAR BLVD UNIT 502, Nashville, TN",Mechanical Permit,$233255
2025-141472 MP,"6304 LONDON DR, Nashville, TN",Mechanical Permit,$255868
2025-143327 PP,"11902 RENNALEE LOOP, Nashville, TN",Plumbing Permit,$123151
2025-144010 BP,"444 E ST ELMO RD BLDG B, Nashville, TN",Building Permit,$133806
2025-138182 EP,"2507 INWOOD PL, Nashville, TN",Electrical Permit,$251710
2025-141328 MP,"6401 CARRINGTON DR, Nashville, TN",Mechanical Permit,$287784
2025-140873 EP,"5327 KING HENRY DR, Nashville, TN",Electrical Permit,$242449
2025-142028 PP,"11505 GLEN FALLOCH CT, Nashville, TN",Plumbing Permit,$299805
2025-137750 BP,"4821 RIVER PLACE BLVD, Nashville, TN",Building Permit,$252268
2025-128912 PP,"1702 SHELBOURNE DR, Nashville, TN",Plumbing Permit,$96881
2025-143728 MP,"2511 MONTOPOLIS DR UNIT 331, Nashville, TN",Mechanical Permit,$119554
2025-143521 EP,"3625 1/2 N FM 620 RD, Nashville, TN",Electrical Permit,$128090
2025-143052 PP,"14513 MOWSBURY DR, Nashville, TN",Plumbing Permit,$150187
2025-140188 EP,"6101 MOUNTAIN VILLA CV, Nashville, TN",Electrical Permit,$232485
2025-022712 PP,"2110 ARPDALE ST, Nashville, TN",Plumbing Permit,$55344
2025-141264 PP,"4116 CREEK LEDGE, Nashville, TN",Plumbing Permit,$266056
2025-143530 PP,"3601 ARROWHEAD DR, Nashville, TN",Plumbing Permit,$258438
2025-144431 PP,"3504 ROCKHURST LN, Nashville, TN",Plumbing Permit,$213986
2025-142166 PP,"863 AIRPORT BLVD BLDG B, Nashville, TN",Plumbing Permit,$86722
2025-144662 PP,"721 BARTON SPRINGS RD, Nashville, TN",Plumbing Permit,$229663
2025-139969 EP,"11420 ALTERRA PKWY, Nashville, TN",Electrical Permit,$235451
2025-142974 PP,"8904 COASTAL DR, Nashville, TN",Plumbing Permit,$73794
2024-037076 BP,"2308 EUCLID AVE, Nashville, TN",Building Permit,$200728
2025-144239 PP,"5020 LEXINGTON MEADOW LN, Nashville, TN",Plumbing Permit,$134618
2025-143403 EP,"620 MONTOPOLIS DR, Nashville, TN",Electrical Permit,$84233
2025-144403 PP,"13513 STOCKSBRIDGE DR, Nashville, TN",Plumbing Permit,$131094
2025-143407 EP,"5000 FORT CLARK DR, Nashville, TN",Electrical Permit,$51049
2025-137637 DS,"9117 IPSWICH BAY DR, Nashville, TN",Driveway / Sidewalks,$114054
2025-143348 MP,"5510 MAPLELEAF DR, Nashville, TN",Mechanical Permit,$130020
2025-141626 EP,"7013 WOODFORD WAY, Nashville, TN",Electrical Permit,$225611
2025-141775 PP,"4819 CALHOUN CANYON LOOP, Nashville, TN",Plumbing Permit,$60882
2025-135633 BP,"1309 ALGUNO RD BLDG 2, Nashville, TN",Building Permit,$155232
2024-081389 EP,"7015 E WILLIAM CANNON DR, Nashville, TN",Electrical Permit,$130640
2025-142715 MP,"5606 GROVER AVE UNIT A, Nashville, TN",Mechanical Permit,$284886
2025-143729 PP,"6004 ALFRED ACRES DR, Nashville, TN",Plumbing Permit,$228162
2025-135713 BP,"1211 KINNEY AVE BLDG 2, Nashville, TN",Building Permit,$134454
2025-137275 EP,"5301 RIATA PARK CT BLDG D, Nashville, TN",Electrical Permit,$112835
2025-143678 PP,"8714 COASTAL DR, Nashville, TN",Plumbing Permit,$143103
2025-135059 BP,"8010 BURLESON RD, Nashville, TN",Building Permit,$134699
2025-140965 EP,"3514 LAKELAND DR, Nashville, TN",Electrical Permit,$184903
2025-131842 EP,"11605 EUBANK DR, Nashville, TN",Electrical Permit,$215057
2025-143635 MP,"4501 WHISPERING VALLEY DR UNIT 11, Nashville, TN",Mechanical Permit,$68018
2025-142780 EP,"5000 ARAX CV, Nashville, TN",Electrical Permit,$86014
2025-144067 BP,"913 ROCKY SPRING RD, Nashville, TN",Building Permit,$186184
2025-143483 PP,"4602 CANYONWOOD DR, Nashville, TN",Plumbing Permit,$204156
2025-100010 PP,"1212 WESTHEIMER DR BLDG 10, Nashville, TN",Plumbing Permit,$75970
2025-137646 EP,"6715 S IH 35 SVRD NB, Nashville, TN",Electrical Permit,$160167
2024-016229 PP,"514 E LIVE OAK ST, Nashville, TN",Plumbing Permit,$219268
2025-143325 PP,"8106 GREENWICH MERIDIAN, Nashville, TN",Plumbing Permit,$250461
2025-113753 EP,"1804 E 22ND ST--UNIT 2A, Nashville, TN",Electrical Permit,$218649
2025-093214 PP,"41 MARGRANITA CRES UNIT A, Nashville, TN",Plumbing Permit,$157398
2025-051604 BP,"124 W ANDERSON LN SVRD WB, Nashville, TN",Building Permit,$56632
2025-122454 DS,"2406 EUCLID AVE, Nashville, TN",Driveway / Sidewalks,$76904
2025-143616 EP,"2524 WINCHELL LN, Nashville, TN",Electrical Permit,$112709
2025-143156 EP,"4106 CAT MOUNTAIN DR, Nashville, TN",Electrical Permit,$212502
2025-144014 BP,"8902 BRIDGEWOOD TRL, Nashville, TN",Building Permit,$199418
2025-141842 BP,"2616 JEFFERSON ST UNIT A, Nashville, TN",Building Permit,$236988
2025-144202 EP,"13232 KINCANE DR, Nashville, TN",Electrical Permit,$241782
2024-079993 EP,"7015 E WILLIAM CANNON DR, Nashville, TN",Electrical Permit,$60472
2025-098895 MP,"5603 CEDRO TRL, Nashville, TN",Mechanical Permit,$269712
2025-143401 PP,"1511 OAK HEIGHTS DR BLDG 2, Nashville, TN",Plumbing Permit,$296469
2025-143798 PP,"7907 PALACIOS DR, Nashville, TN",Plumbing Permit,$178284
2025-130864 BP,"13945 N US 183 HWY SVRD NB BLDG B UNIT 1, Nashville, TN",Building Permit,$286204
2025-111562 MP,"3204 LYONS RD UNIT 1, Nashville, TN",Mechanical Permit,$148658
2025-135709 BP,"1211 KINNEY AVE BLDG 1, Nashville, TN",Building Permit,$294421
2025-143070 EP,"14905 IVEANS WAY, Nashville, TN",Electrical Permit,$238404
2025-133546 EP,"301 N PLEASANT VALLEY RD BLDG 3, Nashville, TN",Electrical Permit,$106098
2025-138279 DS,"4216 DEEPWOODS DR, Nashville, TN",Driveway / Sidewalks,$83178
2025-143775 PP,"305 NELRAY BLVD, Nashville, TN",Plumbing Permit,$205760
2025-133544 EP,"301 N PLEASANT VALLEY RD BLDG 1, Nashville, TN",Electrical Permit,$173290
2025-142656 PP,"13304 RODEO CV, Nashville, TN",Plumbing Permit,$87848
2025-143506 EP,"8611 CLAREWOOD DR, Nashville, TN",Electrical Permit,$151286
2025-118588 MP,"5005 SHOALWOOD AVE, Nashville, TN",Mechanical Permit,$239723
2025-135038 BP,"1100 S LAMAR BLVD BLDG 2 UNIT 2140, Nashville, TN",Building Permit,$171541
2025-142832 PP,"6206 CARY DR, Nashville, TN",Plumbing Permit,$172175
2025-142163 MP,"1701 ANISE DR, Nashville, TN",Mechanical Permit,$72952
2025-143337 PP,"4800 GROVER AVE, Nashville, TN",Plumbing Permit,$50195
2025-069656 EP,"11401 1/2 CENTURY OAKS TER, Nashville, TN",Electrical Permit,$245517
2025-142770 PP,"500 S 3RD ST UNIT C, Nashville, TN",Plumbing Permit,$246848
2025-143503 MP,"5921 SILVER SCREEN DR, Nashville, TN",Mechanical Permit,$154001
2025-143532 PP,"9100 IPSWICH BAY DR, Nashville, TN",Plumbing Permit,$275604
2025-142793 EP,"2206 LA CASA DR, Nashville, TN",Electrical Permit,$50744
2025-133814 PP,"916 E 39TH ST, Nashville, TN",Plumbing Permit,$206067
2025-133545 EP,"301 N PLEASANT VALLEY RD BLDG 2, Nashville, TN",Electrical Permit,$61000
2025-143072 MP,"4243 IRIONA BND, Nashville, TN",Mechanical Permit,$71795
2025-143097 BP,"8003 DECKER LN, Nashville, TN",Building Permit,$121129
2025-144202 PP,"13232 KINCANE DR, Nashville, TN",Plumbing Permit,$200355
2025-143828 EP,"4206 FARHILLS DR, Nashville, TN",Electrical Permit,$167779
2025-139359 EP,"1704 CORONA DR, Nashville, TN",Electrical Permit,$262778
2021-175911 PP,"10611 TURNER DR, Nashville, TN",Plumbing Permit,$126957
2025-143297 MP,"5807 FITCHWOOD LN, Nashville, TN",Mechanical Permit,$215610
2025-144202 BP,"13232 KINCANE DR, Nashville, TN",Building Permit,$228037
2025-123128 PP,"1808 SYLVAN DR BLDG 3, Nashville, TN",Plumbing Permit,$71000
2025-142758 MP,"7443 PUSCH RIDGE LOOP, Nashville, TN",Mechanical Permit,$299501
2025-144252 MP,"806 JEWELL ST, Nashville, TN",Mechanical Permit,$122516
2025-143045 PP,"7300 FOXTREE CV, Nashville, TN",Plumbing Permit,$278573
2025-072121 EP,"8810 MARMOSET WAY, Nashville, TN",Electrical Permit,$211151
2025-128604 BP,"2503 E 18TH ST, Nashville, TN",Building Permit,$143290
2025-142045 BP,"203 1/2 S PLEASANT VALLEY RD, Nashville, TN",Building Permit,$264975
2025-142930 EP,"5304 SAMUEL HUSTON AVE BLDG 1, Nashville, TN",Electrical Permit,$249087
2025-099710 PP,"9504 WIGGY WAY, Nashville, TN",Plumbing Permit,$150033
2025-135712 BP,"1211 KINNEY AVE BLDG 1, Nashville, TN",Building Permit,$288457
2025-140082 BP,"910 CHOTE AVE, Nashville, TN",Building Permit,$193409
2025-143624 PP,"6705 SKYNOOK DR, Nashville, TN",Plumbing Permit,$63891
2025-143718 PP,"5210 OVERBROOK DR, Nashville, TN",Plumbing Permit,$270860
2025-142389 PP,"1713 MORROW ST, Nashville, TN",Plumbing Permit,$113544
2025-142539 MP,"3405 CLARKSBURG DR, Nashville, TN",Mechanical Permit,$166381
2024-073287 DS,"2406 EUCLID AVE, Nashville, TN",Driveway / Sidewalks,$58288
2025-140538 BP,"910 CHOTE AVE, Nashville, TN",Building Permit,$243959
2025-139541 DS,"7405 CARVER AVE, Nashville, TN",Driveway / Sidewalks,$144808
2025-143678 BP,"8714 COASTAL DR, Nashville, TN",Building Permit,$142890
2025-134565 EP,"2701 CALABASH CV, Nashville, TN",Electrical Permit,$70653
2025-141444 PP,"4502 RAMSEY AVE, Nashville, TN",Plumbing Permit,$287388
2025-142794 MP,"8900 LA SIESTA BND, Nashville, TN",Mechanical Permit,$244139
2025-142801 MP,"7114 FOXTREE CV, Nashville, TN",Mechanical Permit,$272381
2025-103259 PP,"2213 SANTA MARIA ST--DEMO, Nashville, TN",Plumbing Permit,$267100
2025-142846 PP,"8205 STILLWOOD LN, Nashville, TN",Plumbing Permit,$256271
2025-141908 PP,"2205 SCHULLE AVE, Nashville, TN",Plumbing Permit,$152708
2025-069980 MP,"8200 LEROI DR, Nashville, TN",Mechanical Permit,$130589
2025-144451 BP,"3002 WEBBERVILLE RD BLDG 2, Nashville, TN",Building Permit,$120781
2025-135407 EP,"3412 CEDAR ST UNIT 1, Nashville, TN",Electrical Permit,$95226
2025-143405 MP,"8402 VAQUERO CV, Nashville, TN",Mechanical Permit,$214521
2025-144707 EP,"417 HONEYCOMB RIDGE, Nashville, TN",Electrical Permit,$93134
2025-139037 BP,"8700 AZALEA TRL, Nashville, TN",Building Permit,$98671
2025-092356 MP,"2401 LAKE AUSTIN BLVD, Nashville, TN",Mechanical Permit,$239252
2025-002568 BP,"6404 WILBUR DR, Nashville, TN",Building Permit,$292909
2025-144583 BP,"6407 CASCADA DR, Nashville, TN",Building Permit,$101777
2025-139018 BP,"514 E LIVE OAK ST, Nashville, TN",Building Permit,$169315
2025-143688 EP,"5304 SAMUEL HUSTON AVE BLDG 1, Nashville, TN",Electrical Permit,$174977
2025-143954 PP,"12002 DRY CATTAIL DR, Nashville, TN",Plumbing Permit,$83376
2025-144114 EP,"7005 WOODFORD WAY, Nashville, TN",Electrical Permit,$137664
2025-143308 MP,"7500 VOL WALKER DR, Nashville, TN",Mechanical Permit,$54008
2025-067936 PP,"8107 MULEY DR, Nashville, TN",Plumbing Permit,$281863
2025-070259 MP,"8812 MARMOSET WAY, Nashville, TN",Mechanical Permit,$189949
2025-135711 BP,"1211 KINNEY AVE BLDG 3, Nashville, TN",Building Permit,$274583
2025-124732 BP,"5811 TRADE CENTER DR BLDG 8 UNIT 830, Nashville, TN",Building Permit,$68319
2025-142953 PP,"1616 W 5TH ST, Nashville, TN",Plumbing Permit,$161103
2025-128603 BP,"1711 SINGLETON AVE, Nashville, TN",Building Permit,$115892
2025-139515 PP,"13492 N US 183 HWY SVRD SB UNIT 100, Nashville, TN",Plumbing Permit,$207802
2025-143941 EP,"4915 MAUFRAIS LN, Nashville, TN",Electrical Permit,$181863
2025-143936 EP,"604 W LEDGEWAY, Nashville, TN",Electrical Permit,$169799
2025-137859 MP,"10905 BALLYBUNION PL, Nashville, TN",Mechanical Permit,$53142
2025-072121 MP,"8810 MARMOSET WAY, Nashville, TN",Mechanical Permit,$136734
2025-139432 BP,"9828 GREAT HILLS TRL UNIT 400, Nashville, TN",Building Permit,$180688
2025-143331 BP,"2315 1/2 E ANDERSON LN SVRD EB, Nashville, TN",Building Permit,$260372
2025-071632 MP,"8808 MARMOSET WAY, Nashville, TN",Mechanical Permit,$251360
2025-143961 PP,"8101 ASMARA DR, Nashville, TN",Plumbing Permit,$175380
